,edad,estado,formacion,ocupacion,universidad,periodo_clase,tipo_trabajo,moneda,salario,gastos,rango_vivienda,rango_alimentacion,rango_transporte,act_extracurricular,rango_extracurricular,bool_ahorro,rango_ahorro,educacion_financiera,bool_educacion_financiera,nivel_vida,nivel_satisfaccion
81,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Dólares estadounidenses,$80 a $120.,"Vivienda., Alimentación",$40 a 80$,$20 a $40,$0,No aplica.,$0,Sí,$0 a $10,Sí,Sí,Mejor.,Neutral.
82,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Igual.,Bastante satisfecho.
83,21 a 23 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
84,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
85,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Periodos anuales.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,$80 a $120.,Transporte,$0,$0,$0,"Gimnasio, Idiomas",Más de $70,Sí,$20 a $50,Sí,Sí,Igual.,Neutral.
86,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Mejor.,Poco satisfecho.
87,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Mejor.,Bastante satisfecho.
88,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Igual.,Nada satisfecho.
89,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
90,21 a 23 años.,Guárico,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Bolívares,$240 a $280,"Alimentación, Transporte",$40 a 80$,$20 a $40,$20 a $40,No aplica.,$0,Sí,Más de $80,Sí,Sí,Igual.,Neutral.
91,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Mejor.,Neutral.
92,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
93,27 a 29 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Bolívares,$40 a $80.,"Vivienda., Alimentación, Transporte",$40 a 80$,Más de $100,$40 a $60,No aplica.,$0,No,$0,Sí,No,Igual.,Nada satisfecho.
94,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Igual.,Neutral.
95,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,$40 a $80.,Transporte,$0,$20 a $40,$20 a $40,Gimnasio,$30 a $50,Sí,$10 a $20,No,Sí,Igual.,Poco satisfecho.
96,18 a 20 años.,Mérida,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Bolívares,$40 a $80.,"Alimentación, Transporte",$0,$40 a $60,$20 a $40,No aplica.,$0,No,$0,Sí,Sí,Peor.,Nada satisfecho.
97,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Igual.,Nada satisfecho.
98,18 a 20 años.,Mérida,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,$120 a $160.,"Vivienda., Alimentación, Transporte",$40 a 80$,$40 a $60,$20 a $40,"Deporte, Idiomas",$10 a $30,Sí,$0 a $10,Sí,Sí,Mejor.,Poco satisfecho.
99,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Mejor.,Neutral.
100,18 a 20 años.,Mérida,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,$40 a $80.,Transporte,$0,$0,$0,Deporte,$10 a $30,No,$0,No,Sí,Mejor.,Neutral.
101,21 a 23 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Periodos anuales.,"Sector público (gobierno, instituciones públicas).",Bolívares,$80 a $120.,"Alimentación, Transporte",$0,Más de $100,$40 a $60,No aplica.,$0,Sí,$0 a $10,Sí,Sí,Mejor.,Poco satisfecho.
102,18 a 20 años.,Distrito Capital,Bachiller,Estudiante.,Privada.,Semestre.,,,,,,,,,,,,,,Igual.,Nada satisfecho.
103,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Periodos anuales.,,,,,,,,,,,,,,Mejor.,Neutral.
104,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector público (gobierno, instituciones públicas).",Bolívares,$80 a $120.,Transporte,$0,$20 a $40,$60 a $80,Deporte,$10 a $30,Sí,$20 a $50,Sí,Sí,Mejor.,Poco satisfecho.
105,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Peor.,Poco satisfecho.
106,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,No aplica,No aplica,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,Menos $40.,"Alimentación, Transporte",$0,$20 a $40,$20 a $40,"No aplica., Deporte",$0,Sí,$0 a $10,Sí,No,Mejor.,Poco satisfecho.
107,21 a 23 años.,Táchira,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Periodos anuales.,"Sector público (gobierno, instituciones públicas).",Bolívares,$40 a $80.,"Vivienda., Alimentación, Transporte",$120 a $160,$60 a $80,$20 a $40,No aplica.,$0,No,$0,No,Sí,Mejor.,Neutral.
108,18 a 20 años.,Miranda,Bachiller,Empleado o emprendedor,No aplica,Semestre.,"Trabajador independiente (freelance, emprendedor).",Bolívares,Menos $40.,"Vivienda., Alimentación",$120 a $160,$40 a $60,$20 a $40,No aplica.,$0,Sí,$0 a $10,No,Sí,Mejor.,Poco satisfecho.
109,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Mejor.,Neutral.
110,18 a 20 años.,Mérida,Bachiller,Estudiante.,Pública.,Trimestre.,,,,,,,,,,,,,,Mejor.,Neutral.
111,21 a 23 años.,Mérida,Bachiller,Estudiante.,Privada.,Semestre.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
112,21 a 23 años.,Barinas,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Igual.,Nada satisfecho.
113,24 a 26 años.,Táchira,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Pesos y dolares,$40 a $80.,"Alimentación, Transporte",$40 a 80$,$20 a $40,$20 a $40,"No aplica., ",$0,Sí,$10 a $20,Sí,Sí,Mejor.,Poco satisfecho.
114,21 a 23 años.,Mérida,Bachiller,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Igual.,Poco satisfecho.
115,24 a 26 años.,Distrito Capital,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Sector público (gobierno, instituciones públicas).",Bolívares,$120 a $160.,"Alimentación, Transporte",$0,Más de $100,$20 a $40,No aplica.,$0,No,$0,No,Sí,Igual.,Poco satisfecho.
116,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector público (gobierno, instituciones públicas).",Bolívares,$40 a $80.,Alimentación,$0,$0,$0,No aplica.,$0,Sí,$50 a $80,No,Sí,Igual.,Poco satisfecho.
117,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,$80 a $120.,"Alimentación, Transporte",$40 a 80$,$40 a $60,$20 a $40,Gimnasio,$10 a $30,No,$0,No,Sí,Igual.,Poco satisfecho.
118,27 a 29 años.,Portuguesa,Bachiller,Empleado o emprendedor,No aplica,No aplica,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,Menos $40.,Alimentación,$40 a 80$,$20 a $40,$0,"Deporte, Música",$0,No,$0,Sí,Sí,Mejor.,Satisfecho.
119,18 a 20 años.,Mérida,Bachiller,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Dólares estadounidenses,$200 a $240.,"Alimentación, Transporte",$0,$20 a $40,$20 a $40,No aplica.,$0,Sí,Más de $80,Sí,Sí,Mejor.,Neutral.
120,24 a 26 años.,Distrito Capital,Posgrado.,Empleado o emprendedor,Privada.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Bolívares,Más de $320,"Vivienda., Alimentación, Transporte",Más de $200,Más de $100,$60 a $80,"Gimnasio, Deporte, Idiomas",Más de $70,Sí,Más de $80,Sí,Sí,Mucho mejor.,Poco satisfecho.
121,27 a 29 años.,Mérida,Posgrado.,Empleado o emprendedor,Privada.,Periodos anuales.,"Sector público (gobierno, instituciones públicas).",Bolívares,$80 a $120.,Alimentación,Más de $200,Más de $100,$20 a $40,Gimnasio,$10 a $30,Sí,$20 a $50,No,Sí,Igual.,Nada satisfecho.
122,18 a 20 años.,Mérida,Posgrado.,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,Menos $40.,"Alimentación, Transporte",$0,$20 a $40,$20 a $40,Gimnasio,$10 a $30,No,$0,Sí,Sí,Mejor.,Poco satisfecho.
123,27 a 29 años.,Portuguesa,Profesional,Empleado o emprendedor,,,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,Más de $320,"Vivienda., Alimentación, Transporte",$120 a $160,$80 a $100,$40 a $60,No aplica.,$0,Sí,Más de $80,No,Sí,Mejor.,Neutral.
124,27 a 29 años.,Mérida,Profesional,Empleado o emprendedor,No aplica,No aplica,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,$160 a $200.,"Vivienda., Alimentación, Transporte",$40 a 80$,$40 a $60,$20 a $40,Gimnasio,$50 a $70,No,$0,No,Sí,Mucho mejor.,Satisfecho.
125,27 a 29 años.,Mérida,Profesional,Empleado o emprendedor,Privada.,No aplica,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Dólares estadounidenses,$280 a $320,"Vivienda., Alimentación, Transporte",Más de $200,$80 a $100,$20 a $40,Baile y deporte,$10 a $30,Sí,$10 a $20,No,Sí,Mejor.,Neutral.
126,27 a 29 años.,Mérida,Profesional,Empleado o emprendedor,Pública.,Periodos anuales.,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,$240 a $280,"Alimentación, Transporte",$0,$80 a $100,$20 a $40,Gimnasio,$10 a $30,No,$0,No,Sí,Mejor.,Poco satisfecho.
127,24 a 26 años.,Anzoátegui,Profesional,Empleado o emprendedor,Pública.,Periodos anuales.,"Trabajador independiente (freelance, emprendedor).",Dólares estadounidenses,Más de $320,"Alimentación, Transporte",$0,$80 a $100,$20 a $40,"Gimnasio, Cursos",Más de $70,Sí,$50 a $80,No,Sí,Mucho mejor.,Neutral.
128,27 a 29 años.,Táchira,Profesional,Empleado o emprendedor,Pública.,Periodos anuales.,"Sector público (gobierno, instituciones públicas).",Bolívares,$80 a $120.,"Vivienda., Alimentación, Transporte",$40 a 80$,$60 a $80,$20 a $40,"Gimnasio, Deporte",$10 a $30,Sí,$0 a $10,Sí,Sí,Peor.,Nada satisfecho.
129,27 a 29 años.,Distrito Capital,Profesional,Empleado o emprendedor,Pública.,Trimestre.,"Sector público (gobierno, instituciones públicas).",Bolívares,$160 a $200.,"Vivienda., Alimentación, Transporte",Más de $200,Más de $100,$20 a $40,"Gimnasio, Arte",$30 a $50,Sí,$10 a $20,Sí,Sí,Igual.,Poco satisfecho.
130,21 a 23 años.,Táchira,Profesional,Empleado o emprendedor,No aplica,No aplica,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Bolivares y pesos colombianos/dolares,$160 a $200.,"Alimentación, Transporte",$0,$40 a $60,$20 a $40,No aplica.,$30 a $50,Sí,$50 a $80,Sí,No,Mucho mejor.,Neutral.
131,24 a 26 años.,Mérida,Profesional,Empleado o emprendedor,No aplica,No aplica,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,Más de $320,"Alimentación, Transporte",$0,$80 a $100,$20 a $40,Gimnasio,$30 a $50,Sí,Más de $80,Sí,Sí,Mucho mejor.,Bastante satisfecho.
132,24 a 26 años.,Yaracuy,Profesional,Empleado o emprendedor,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Bolívares,$120 a $160.,"Alimentación, Transporte",$0,Más de $100,$20 a $40,No aplica.,$0,No,$0,No,Sí,Igual.,Poco satisfecho.
133,21 a 23 años.,Táchira,Profesional,Empleado o emprendedor,No aplica,No aplica,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Dólares estadounidenses,$40 a $80.,Transporte,$0,$0,$20 a $40,No aplica.,$0,Sí,$10 a $20,Sí,Sí,Mucho mejor.,Neutral.
134,27 a 29 años.,Mérida,Profesional,Empleado o emprendedor,No aplica,No aplica,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,Más de $320,"Vivienda., Alimentación, Transporte",$120 a $160,Más de $100,Más de $80,Salsa Casino,$10 a $30,Sí,$50 a $80,No,Sí,Mejor.,Muy satisfecho.
135,18 a 20 años.,Mérida,Técnico Medio.,Empleado o emprendedor,No aplica,No aplica,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,$80 a $120.,"Vivienda., Alimentación, Transporte",$80 a $120,$40 a $60,$20 a $40,"Música, Arte",$30 a $50,Sí,$10 a $20,Sí,Sí,Mejor.,Poco satisfecho.
136,21 a 23 años.,Mérida,Técnico Medio.,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Peor.,Poco satisfecho.
137,18 a 20 años.,Mérida,Técnico Medio.,Estudiante y empleado.,Pública.,Trimestre.,"Sector público (gobierno, instituciones públicas).",Bolívares,$80 a $120.,Alimentación,$0,$40 a $60,$0,Gimnasio,$10 a $30,No,$0,No,No,Mucho mejor.,Satisfecho.
138,21 a 23 años.,Distrito Capital,Técnico Medio.,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Mejor.,Poco satisfecho.
139,18 a 20 años.,Distrito Capital,Técnico Medio.,Estudiante.,,,,,,,,,,,,,,,,Mucho mejor.,Poco satisfecho.
140,18 a 20 años.,Mérida,Técnico Medio.,Estudiante.,Privada.,Semestre.,,,,,,,,,,,,,,Mejor.,Satisfecho.
141,21 a 23 años.,Mérida,Técnico Medio.,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Igual.,Nada satisfecho.
142,18 a 20 años.,Distrito Capital,Técnico Medio.,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Peor.,Nada satisfecho.
143,18 a 20 años.,Mérida,Técnico Medio.,Estudiante y empleado.,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Dólares estadounidenses,Menos $40.,Transporte,$0,$0,$20 a $40,No aplica.,$10 a $30,Sí,$0 a $10,No,Sí,Mejor.,Satisfecho.
144,18 a 20 años.,Mérida,Técnico Medio.,Estudiante y empleado | Estudiante y emprendedor,Pública.,Periodos anuales.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Bolívares,$280 a $320,"Alimentación, Transporte",$80 a $120,$0,$20 a $40,No aplica.,$0,Sí,Más de $80,No,Sí,Mejor.,Poco satisfecho.
145,27 a 29 años.,Mérida,Técnico Medio.,Empleado o emprendedor,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Bolívares,$80 a $120.,"Vivienda., Alimentación, Transporte",$40 a 80$,Más de $100,Más de $80,No aplica.,$30 a $50,Sí,$20 a $50,No,Sí,Mejor.,Poco satisfecho.
146,18 a 20 años.,Mérida,Técnico Medio.,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Bolívares,$40 a $80.,"Alimentación, Transporte",$0,$20 a $40,$20 a $40,Arte,$10 a $30,Sí,$10 a $20,Sí,Sí,Mejor.,Satisfecho.
147,24 a 26 años.,Mérida,Técnico Medio.,Estudiante y empleado | Estudiante y emprendedor,Pública.,Periodos anuales.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,$120 a $160.,"Alimentación, Transporte",$0,$40 a $60,$20 a $40,Deporte,$10 a $30,Sí,$0 a $10,No,Sí,Igual.,Neutral.
148,18 a 20 años.,Distrito Capital,Técnico Medio.,Estudiante.,Pública.,Semestre.,,,,,,,,,,,,,,Mejor.,Poco satisfecho.
149,18 a 20 años.,Mérida,Técnico Medio.,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector público (gobierno, instituciones públicas).",Bolívares,$80 a $120.,"Alimentación, Transporte",$0,$20 a $40,$20 a $40,Gimnasio,$10 a $30,No,$0,Sí,Sí,Mejor.,Nada satisfecho.
150,18 a 20 años.,Mérida,Técnico Medio.,Estudiante y empleado | Estudiante y emprendedor,Pública.,Semestre.,"Sector privado (empresas, organizaciones no gubernamentales, etc).",Combinación de bolívares y dólares,$40 a $80.,"Alimentación, Transporte",$0,$20 a $40,$20 a $40,"Deporte, Idiomas",$30 a $50,No,$0,No,Sí,Igual.,Poco satisfecho.
151,21 a 23 años.,Mérida,Técnico Medio.,Empleado o emprendedor,No aplica,No aplica,"Trabajador independiente (freelance, emprendedor).",Combinación de bolívares y dólares,Más de $320,"Vivienda., Alimentación, Transporte",Más de $200,Más de $100,$40 a $60,Gimnasio,$10 a $30,Sí,Más de $80,Sí,Sí,Mucho mejor.,Bastante satisfecho.
152,18 a 20 años.,Mérida,Técnico Medio.,Empleado o emprendedor,Pública.,Semestre.,"Sector público (gobierno, instituciones públicas).",Dólares estadounidenses,$120 a $160.,Vivienda.,$160 a $200,$60 a $80,$20 a $40,Gimnasio,$50 a $70,Sí,Más de $80,No,Sí,Igual.,Poco satisfecho.
153,21 a 23 años.,Táchira,Técnico Medio.,Empleado o emprendedor,Pública.,Semestre.,"Trabajador independiente (freelance, emprendedor).",Dólares estadounidenses,Más de $320,"Vivienda., Alimentación, Transporte",$40 a 80$,Más de $100,$60 a $80,Gimnasio,$10 a $30,Sí,Más de $80,Sí,Sí,Mejor.,Neutral.
